卦象,命中总数,本卦理,本卦,之卦理,之卦,朱子占断,南师占断,朱子解读(AI),南师解读(AI),日常事务建议
666666,0,666666,用六,,,【坤·用六】用六：利永贞,【坤·用六】用六：利永贞,坤卦六爻全变，刚柔互换，正见天道之常。'用六·利永贞'，说的是纯阴至顺到了极点，要靠'守正'才能长久。占得这一卦：凡事别因太柔顺而没了主见，也别逞强去违背顺势的道理；只要以柔顺守住正道、安于本分、不急躁冒进，福泽就能绵长、长治久安。,坤卦六爻全变，南师说这是'阴到了头'的格局。'利永贞'三个字最实在——守得住、走得正、撑得久。眼下别想着出风头逞强，也别软到没主见。把姿态放低、把心摆正，老老实实把该做的做扎实，时间会站在你这边。慢就是快，稳才是真。,工作：柔顺配合莫争先，长久守正得善果｜家庭：以柔持家包容为先，和睦长安｜出行：随顺同行不逞强，稳妥无虞｜财富：守成积累勿激进，细水长流｜交友：以诚厚待人，久处见真情｜学业：踏实沉潜勤积累，忌急功近利｜健康：静养温和调气血，贵在坚持｜诉讼：忍让守正勿争锋，以和为贵
666667,0,000001,剥,111111,乾,【之卦乾·上爻辞】上九：亢(kàng，极、过)龙有悔,取静爻：【本卦剥·上爻辞】上九：硕果不食，君子得舆，小人剥庐,本卦剥变之卦乾，五爻都动、只有上九不变，朱子断法是看之卦那条不变的爻。乾上九'亢龙有悔'——龙飞到极高处，盈满到了头，势头难以持久。占得此卦：哪怕你正处在鼎盛、众望所归，也要把'骄傲自满'当头号警惕，懂得进退、功成不居，才能免于悔恨；若仗着势头一味往上冲，悔吝随之就到。,从'剥'变到'乾'，南师断这种五爻动的，要回头看本卦剥那个没动的上九——'硕果不食，君子得舆，小人剥庐'。意思是：树梢上还留着个大果子没被摘吃，留得青山在。是君子，就能得大车、有承载；是小人，连自家房子都给拆了。眼下剥落到了头，关键看你是哪种人——肯留余地、积德的，绝处能逢生。,工作：局面剥落待转机，存望戒骄亢｜家庭：家道见衰宜守护，勿逞强生变｜出行：不宜远行冒进，守静待时｜财富：家底渐薄须节流，防过盛招损｜交友：远小人近君子，择善而交｜学业：低谷积蓄根基，切忌自满｜健康：元气渐虚宜静养，防劳累过度｜诉讼：处势不利宜守正，勿强争招悔
666668,0,000000,坤,111110,夬,【之卦夬·上爻辞】上六：无号，终有凶,取静爻：【本卦坤·上爻辞】上六：龙战于野，其血玄(xuán，黑)黄,本卦坤变之卦夬，朱子取之卦那条不变的上六来断。夬上六'无号，终有凶'——处在决断的尽头，孤阴将尽，呼号也无人应。占得此卦要明白：势已到穷尽、外援断绝，光是空喊无济于事。该趁早自省、提前筹划，别等危险临头才想办法，否则终究难免凶险。,变到'夬'，南师看本卦坤没动的上六——'龙战于野，其血玄黄'。这是阴气到了极点、阴阳两败俱伤的恶斗，血流遍野。南师说这是矛盾激化到摊牌、谁都讨不到好的局面。眼下若陷入这种你死我活的对峙，先冷静——硬碰硬只会两败俱伤。退一步、缓一缓，别把事闹到'龙战于野'那一步。,工作：暗藏冲突须防范，守柔避锋勿硬拼｜家庭：口角易起当克制，忍让化戾气｜出行：不宜远行防意外，静守为安｜财富：慎防破财与纠纷，守成勿险投｜交友：远是非避争斗，慎交防反目｜学业：心浮易乱宜静心，戒躁守恒｜健康：防急症与血气逆，静养调息｜诉讼：争则两伤终有凶，速和莫恋战
666669,0,000001,剥,111110,夬,【之卦夬·卦辞】夬，扬于王庭，孚号有厉。告自邑，不利即戎，利有攸往,【之卦夬·卦辞】夬，扬于王庭，孚号有厉。告自邑，不利即戎，利有攸往,本卦剥、之卦夬，六爻全变，朱子断法看之卦卦辞。夬'扬于王庭，孚号有厉……利有攸往'，是五阳决一阴、正气压邪气之象。占得此卦：宜光明正大、把道理讲在明处再行动，虽有危厉，但终究利于前进；只是要警惕——别因刚断而伤了和气，决断也要有分寸，才算周全。,六爻全变，看变卦'夬'。夬就是摊牌、清算——五个阳一起把那个阴顶掉，正气压邪气。南师讲这是'该断就断'的时候，但要摆在明面上、按规矩来，别使阴招。该往前推就推，会有点险，可方向是对的。只一条：别太刚，把人逼绝了，给彼此留点台阶。,工作：果断革除积弊，光明行事防险阻｜家庭：坦诚沟通化旧怨，勿激化矛盾｜出行：可有目标而往，忌意气用事｜财富：清理旧账正当谋，不宜强取｜交友：明辨是非远小人，正道结交｜学业：破除旧习攻难关，稳中求进｜健康：及早祛病防拖延，忌硬扛｜诉讼：宜正当申诉，不宜武断硬拼
666676,0,000010,比,111111,乾,【之卦乾·五爻辞】九五：飞龙在天，利见大人,取静爻：【本卦比·五爻辞】九五：显比，王用三驱，失前禽，邑人不诫，吉,本卦比变之卦乾，只有九五不变，朱子断这条不变的爻。乾九五'飞龙在天，利见大人'，是刚健中正、德位俱备之象。占得此卦：正是你大展身手的好时机，宜亲近贤德之人、顺势而为，居于高位又不失中正，就能功成名就、无往不利。,从'比'变到'乾'，南师取本卦比没动的九五——'显比，王用三驱，失前禽'。这是讲领导的胸襟：打猎网开一面，故意放跑往前逃的，不赶尽杀绝。南师说真正会团结人的，靠的是这份气度，让人心甘情愿归附。眼下你要聚人、带队伍，少点算计、多点宽厚，人自然向着你。,工作：得贵人扶持大展身手，宜进取｜家庭：亲厚和睦得助力，齐心兴家｜出行：利远行诸事顺，逢贵得援｜财富：正财亨通有进益，广开善源｜交友：广结良朋得知己，以诚相亲｜学业：得良师指点，奋进有成｜健康：气血通畅精神旺，防过劳｜诉讼：得理得助占上风，秉正则胜
666677,0,000011,观,111111,乾,以下爻为主：【之卦乾·五爻辞】九五：飞龙在天，利见大人｜参【上爻辞】上九：亢(kàng，极、过)龙有悔,取下静爻：【本卦观·五爻辞】九五：观我生，君子无咎,本卦观、之卦乾，四爻都动，朱子取之卦两条不变的爻、以下面那条为主。乾九五'飞龙在天，利见大人'为主，上九'亢龙有悔'为辅。占得此卦：正当鼎盛得位、可以大有作为之时，但九五之后紧接着就是'亢龙'，所以要趁势进取的同时常存退让之心，盛而不至于衰。,变到'乾'，南师取本卦观没动的九五——'观我生，君子无咎'。观卦讲的是'看'，这爻是反观自己：把自己走过的路、做过的事拿出来照照镜子，君子常这么自省就不会出错。眼下与其盯着别人、急着出手，不如先静下来看看自己。看清楚了，脚下的路自然不会走偏。,工作：审时进取有成，戒骄亢防反复｜家庭：以身作则树家风，谦和相处｜出行：出行顺遂，行前多观察｜财富：正途得利，见好收莫贪进｜交友：观人而交择良友，重德轻利｜学业：多观摩勤自省，稳步登高｜健康：留意起居调养，防盛极生疲｜诉讼：占理宜进，得理适可而止
666678,0,000010,比,111110,夬,以下爻为主：【之卦夬·五爻辞】九五：苋(xiàn，菜)陆夬夬，中行无咎｜参【上爻辞】上六：无号，终有凶,取下静爻：【本卦比·五爻辞】九五：显比，王用三驱，失前禽，邑人不诫，吉,本卦比、之卦夬，四爻都动，朱子取之卦两条不变的爻、以下面那条为主。夬九五'苋陆夬夬，中行无咎'为主，上六'无号终有凶'为辅。占得此卦：决断事情要像清除苋陆野草那样果断，但守住中道才无咎；同时要提防孤阴穷尽的凶险，决断有分寸，别赶尽杀绝而失了和气。,从'比'变到'夬'，南师取本卦比没动的九五——'显比，王用三驱，失前禽'。这是讲带人要有气度：围猎留个缺口，不把猎物赶尽。南师说收服人心靠的是宽厚，不是手段。眼下不管是断事还是聚人，给人留条活路、留点余地，人才真心服你。把人逼绝了，赢了也是输。,工作：合力果决攻难题，守中道莫走极｜家庭：齐心解结防翻脸，和中带谨｜出行：结伴可往，慎终防意外｜财富：合谋进财守中正，防末段生变｜交友：择友果断远小人，善始善终｜学业：合力攻坚守恒心，勿半途松劲｜健康：及时调治守中和，防旧疾反复｜诉讼：占理宜决但防拖，速结莫恋战
666679,0,000011,观,111110,夬,【之卦夬·五爻辞】九五：苋(xiàn，菜)陆夬夬，中行无咎,取静爻：【本卦观·五爻辞】九五：观我生，君子无咎,本卦观变之卦夬，只有九五不变，朱子断这条不变的爻。夬九五'苋陆夬夬，中行无咎'，是刚断而能守中之象。占得此卦：宜当机立断、剔除积弊，但必须秉持中正、不偏不激，这样即使做的是决断之事也无咎。刚而有节、决而合道，才算尽善。,变到'夬'，南师取本卦观没动的九五——'观我生，君子无咎'。这爻是反躬自省：回头审视自己这一路怎么走的、做得对不对，君子常这样照镜子就少犯错。眼下别忙着对外出招、对人评断，先把自己看清楚。'观我生'三个字，是给自己留的一面镜子，照明白了再动。,工作：明察后果断决策，守中道无咎｜家庭：看清症结再化解，和缓相待｜出行：观势而行，稳中前往｜财富：审时果断取正财，守中不贪｜交友：观人而后决交，去伪存真｜学业：省察不足再突破，持中前进｜健康：查明病因再调养，不偏不激｜诉讼：明理果断守中，正当行事无咎
666686,0,000000,坤,111101,大有,【之卦大有·五爻辞】六五：厥(jué，其)孚交如，威如，吉,取静爻：【本卦坤·五爻辞】六五：黄裳，元吉(黄：中正；裳：下衣),本卦坤变之卦大有，只有六五不变，朱子断这条不变的爻。大有六五'厥孚交如，威如，吉'，是以诚信相交、又兼具威仪之象。占得此卦：身处丰大兴盛之时，宜以诚待人、以信结众，柔中带正又不失威严，就能上下归心、吉无不利。诚以感人、威以立信，两者并行才吉。,从'坤'变到'大有'，南师取本卦坤没动的六五——'黄裳，元吉'。黄是正中之色，裳是下身的衣裳，合起来就是'居中守正、甘居下位'，大吉。南师说这是为人处世的最高段位：有本事却不张扬，处在高位还能低调谦和。眼下越是顺、越是有，越要守这份'黄裳'的中正谦下，福气才长久。,工作：诚信谦和迎盛运，威信自立｜家庭：以诚待亲家道兴，谦柔生福｜出行：出行顺畅多助益，诚则通达｜财富：正财丰盈守中德，谦得久富｜交友：以诚交心得众望，宽厚聚人｜学业：谦虚勤学大有获，德才并进｜健康：气顺神安身体康，宜养宜和｜诉讼：以诚服人占上风，中正则吉
666687,0,000001,剥,111101,大有,以下爻为主：【之卦大有·五爻辞】六五：厥(jué，其)孚交如，威如，吉｜参【上爻辞】上九：自天佑之，吉无不利,取下静爻：【本卦剥·五爻辞】六五：贯鱼，以宫人宠，无不利,本卦剥、之卦大有，四爻都动，朱子取之卦两条不变的爻、以下面那条为主。大有六五'厥孚交如，威如，吉'为主，上九'自天佑之，吉无不利'为辅。占得此卦：以诚信处在丰大之位，就能人助天佑、无往不利。所谓'自助者天助'，诚信立于内、吉祥应于外，这是福气的极致。,变到'大有'，南师取本卦剥没动的六五——'贯鱼，以宫人宠，无不利'。像把鱼穿成一串，井井有条地带着众人一起受益，没有不利。南师说这是讲'带头人'的本事：能把大家有序地拢在一起、共同得好处。眼下你若处在牵头的位置，把人理顺、让大家都沾上光，路就顺。,工作：困局转盛得天助，诚信迎大有｜家庭：家道回暖多喜庆，顺承得福｜出行：出行大利遇助缘，凡事亨通｜财富：财源转旺有厚获，守正长久｜交友：诚待众人得拥护，广纳良朋｜学业：由难转顺大进益，勤则有成｜健康：康复向好精神振，调养得宜｜诉讼：形势转优占上风，秉正得胜
